"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/App.jsx", "JavaScript JSX", 0, 8, 0, 0, 8
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/AgGridComponent/AgGridComponent.jsx", "JavaScript JSX", 0, -57, -1, -7, -65
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/ApexChart/ApexChat.jsx", "JavaScript JSX", 0, -106, -1, -12, -119
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/ChartNode/ChartNode.jsx", "JavaScript JSX", 0, -20, 0, -4, -24
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/DashBoardLeft/DashBoardLeft.jsx", "JavaScript JSX", 0, -58, 0, -6, -64
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/DashBoardRight/DashBoardRight.jsx", "JavaScript JSX", 0, -162, -5, -15, -182
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/DashBoardTop/DashBoardTop.jsx", "JavaScript JSX", 0, -59, 0, -6, -65
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/DateTime/DateTime.jsx", "JavaScript JSX", 0, -26, 0, -5, -31
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/FeaturePair/FeaturePair.jsx", "JavaScript JSX", 0, -125, 0, -15, -140
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/FileTab/FileTab.jsx", "JavaScript JSX", 0, -193, -1, -13, -207
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/FunctionTab/FunctionTab.jsx", "JavaScript JSX", 0, -224, 0, -6, -230
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/MultipleDropDown/MultipleDropDown.jsx", "JavaScript JSX", 0, -107, -2, -14, -123
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/Navbar/Navbar.jsx", "JavaScript JSX", 0, -30, 0, -3, -33
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/Sidebar/Sidebar.jsx", "JavaScript JSX", 0, -49, -35, -5, -89
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/SingleDropDown/SingleDropDown.jsx", "JavaScript JSX", 0, -64, 0, -11, -75
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/TreeView/TreeView.jsx", "JavaScript JSX", 0, -73, -1, -12, -86
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/UploadFile/UploadFile.jsx", "JavaScript JSX", 0, -86, -20, -14, -120
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/AgGridComponent/AgGridComponent.jsx", "JavaScript JSX", 0, 73, 1, 7, 81
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/DashBoardLeft/DashBoardLeft.jsx", "JavaScript JSX", 0, 58, 0, 6, 64
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/DashBoardRight/DashBoardRight.jsx", "JavaScript JSX", 0, 202, 8, 22, 232
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/DashBoardTop/DashBoardTop.jsx", "JavaScript JSX", 0, 55, 0, 6, 61
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/DateTime/DateTime.jsx", "JavaScript JSX", 0, 26, 0, 5, 31
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/FeaturePair/FeaturePair.jsx", "JavaScript JSX", 0, 125, 0, 15, 140
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/FileTab/FileTab.jsx", "JavaScript JSX", 0, 192, 5, 13, 210
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/FunctionTab/FunctionTab.jsx", "JavaScript JSX", 0, 224, 0, 6, 230
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/MultipleDropDown/MultipleDropDown.jsx", "JavaScript JSX", 0, 107, 2, 14, 123
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/Navbar/Navbar.jsx", "JavaScript JSX", 0, 30, 0, 3, 33
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/NextTable/NextTable.jsx", "JavaScript JSX", 0, 32, 0, 4, 36
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/SingleDropDown/SingleDropDown.jsx", "JavaScript JSX", 0, 65, 0, 11, 76
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/TreeView/TreeView.jsx", "JavaScript JSX", 0, 80, 1, 11, 92
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetCorrelation.jsx", "JavaScript JSX", 0, 330, 16, 39, 385
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetDisplay.jsx", "JavaScript JSX", 0, 52, 14, 10, 76
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetDuplicates.jsx", "JavaScript JSX", 0, 153, 6, 18, 177
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetGroup.jsx", "JavaScript JSX", 0, 153, 1, 15, 169
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetInformation.jsx", "JavaScript JSX", 0, 115, 11, 17, 143
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetStatistics.jsx", "JavaScript JSX", 0, 77, 1, 12, 90
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/BarPlot.jsx", "JavaScript JSX", 0, 160, 1, 11, 172
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/BoxPlot.jsx", "JavaScript JSX", 0, 161, 1, 11, 173
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/CountPlot.jsx", "JavaScript JSX", 0, 145, 1, 12, 158
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/CustomPlot.jsx", "JavaScript JSX", 0, 102, 1, 11, 114
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/Histogram.jsx", "JavaScript JSX", 0, 244, 1, 12, 257
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/LinePlot.jsx", "JavaScript JSX", 0, 136, 1, 11, 148
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/PiePlot.jsx", "JavaScript JSX", 0, 149, 1, 13, 163
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/RegPlot.jsx", "JavaScript JSX", 0, 119, 0, 12, 131
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/ScatterPlot.jsx", "JavaScript JSX", 0, 121, 0, 11, 132
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/ViolinPlot.jsx", "JavaScript JSX", 0, 167, 0, 11, 178
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/AddModify.jsx", "JavaScript JSX", 0, 245, 1, 15, 261
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/Component/Add_ExtractText.jsx", "JavaScript JSX", 0, 41, 0, 5, 46
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/Component/Add_GroupCategorical.jsx", "JavaScript JSX", 0, 156, 2, 10, 168
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/Component/Add_GroupNumerical.jsx", "JavaScript JSX", 0, 177, 0, 6, 183
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/Component/Add_MathOperation.jsx", "JavaScript JSX", 0, 25, 0, 4, 29
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/Component/Add_NewColumn.jsx", "JavaScript JSX", 0, 63, 0, 5, 68
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/Component/Modify_ProgressApply.jsx", "JavaScript JSX", 0, 28, 0, 5, 33
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/Component/Modify_ReplaceValue.jsx", "JavaScript JSX", 0, 183, 0, 8, 191
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AlterFieldName/AlterFieldName.jsx", "JavaScript JSX", 0, 179, 1, 16, 196
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AppendDataset/AppendDataset.jsx", "JavaScript JSX", 0, 118, 0, 11, 129
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/ChangeDType/ChangeDType.jsx", "JavaScript JSX", 0, 183, 1, 15, 199
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/Cluster/Cluster.jsx", "JavaScript JSX", 0, 213, 0, 8, 221
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/DropColumn/DropColumn.jsx", "JavaScript JSX", 0, 161, 1, 13, 175
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/DropRow/DropRow.jsx", "JavaScript JSX", 0, 140, 1, 12, 153
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/Encoding/Encoding.jsx", "JavaScript JSX", 0, 176, 1, 16, 193
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/FeatureSelection/FeatureSelection.jsx", "JavaScript JSX", 0, 63, 0, 5, 68
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/FeatureSelection/components/BestOverallFeature.jsx", "JavaScript JSX", 0, 38, 0, 4, 42
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/FeatureSelection/components/MutualInformation.jsx", "JavaScript JSX", 0, 7, 0, 2, 9
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/FeatureSelection/components/ProgressiveFeature.jsx", "JavaScript JSX", 0, 68, 0, 4, 72
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/FeatureSelection/components/SelectKBest.jsx", "JavaScript JSX", 0, 110, 0, 5, 115
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/MergeDataset/MergeDataset.jsx", "JavaScript JSX", 0, 149, 1, 14, 164
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/Scaling/Scaling.jsx", "JavaScript JSX", 0, 157, 1, 11, 169
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/FinalDataset/FinalDataset.jsx", "JavaScript JSX", 0, 64, 0, 6, 70
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/BuildModel.jsx", "JavaScript JSX", 0, 326, 4, 22, 352
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/DecisionTreeClassification.jsx", "JavaScript JSX", 0, 249, 0, 9, 258
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/KNearestNeighbour.jsx", "JavaScript JSX", 0, 214, 0, 8, 222
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/LogisticRegression.jsx", "JavaScript JSX", 0, 259, 0, 8, 267
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/MultilayerPerceptron.jsx", "JavaScript JSX", 0, 270, 0, 9, 279
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/RandomForestClassification.jsx", "JavaScript JSX", 0, 276, 0, 10, 286
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/SupportVectorMachine.jsx", "JavaScript JSX", 0, 252, 0, 8, 260
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/DecisionTreeRegression.jsx", "JavaScript JSX", 0, 248, 0, 8, 256
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/LassoRegression.jsx", "JavaScript JSX", 0, 247, 0, 8, 255
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/LinearRegression.jsx", "JavaScript JSX", 0, 178, 0, 7, 185
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/RandomForestRegression.jsx", "JavaScript JSX", 0, 326, 0, 10, 336
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/RidgeRegression.jsx", "JavaScript JSX", 0, 233, 0, 8, 241
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/SupportVectorRegressor.jsx", "JavaScript JSX", 0, 172, 0, 10, 182
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/ModelEvaluation/ModelEvaluation.jsx", "JavaScript JSX", 0, 252, 3, 12, 267
